ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
QuickSort,88,578,56500,6,5875
MergeSort,89,72,5600,4,414
QuickSort,89,72,6500,4,507
MergeSort,90,713,53800,7,6527
QuickSort,90,713,75200,7,7536
MergeSort,91,606,57100,7,5233
QuickSort,91,606,50200,6,6225
MergeSort,92,38,3800,3,180
QuickSort,92,38,4100,4,167
MergeSort,93,72,5600,4,383
QuickSort,93,72,6500,4,521
MergeSort,94,323,23400,6,2529
QuickSort,94,323,42500,6,2857
MergeSort,95,859,63600,7,8421
QuickSort,95,859,78900,7,9518
MergeSort,96,492,36500,7,4294
QuickSort,96,492,43700,6,4262
MergeSort,97,765,62100,7,7231
QuickSort,97,765,66900,7,9219
MergeSort,98,182,13600,5,1288
QuickSort,98,182,15500,5,1517
MergeSort,99,816,62300,7,7840
QuickSort,99,816,68500,7,8484
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
MergeSort,0,7,3300,1,6
QuickSort,1,7,2900,3,14
MergeSort,1,9,2900,1,36
QuickSort,2,9,2700,3,17
